k,n,real_part,imaginary_part
0,2,0,0
0,3,-1.00000000000000,0
0,3,0,0
0,4,0,0
0,4,-0.122561166876654,0.744861766619744
0,4,-0.122561166876654,-0.744861766619744
0,4,-1.75487766624669,0
0,5,-1.00000000000000,0
0,5,0,0
0,6,0,0
0,7,-1.00000000000000,0
0,7,0,0
0,7,-0.122561166876654,0.744861766619744
0,7,-0.122561166876654,-0.744861766619744
0,7,-1.75487766624669,0
1,1,0,0
1,2,-1.00000000000000,0
1,2,0,0
1,3,0,0
1,3,-0.122561166876654,0.744861766619744
1,3,-0.122561166876654,-0.744861766619744
1,3,-1.75487766624669,0
1,4,-1.00000000000000,0
1,4,0,0
1,5,0,0
1,6,-1.00000000000000,0
1,6,0,0
1,6,-0.122561166876654,0.744861766619744
1,6,-0.122561166876654,-0.744861766619744
1,6,-1.75487766624669,0
2,1,-2.00000000000000,0
2,1,0,0
2,2,-2.00000000000000,0
2,2,-1.00000000000000,0
2,2,0,0
2,2,0,-1.00000000000000
2,2,0,1.00000000000000
2,3,-2.00000000000000,0
2,3,0,0
2,3,-0.122561166876654,0.744861766619744
2,3,-0.122561166876654,-0.744861766619744
2,3,-1.75487766624669,0
2,4,-2.00000000000000,0
2,4,-1.00000000000000,0
2,4,0,0
2,4,0,-1.00000000000000
2,4,0,1.00000000000000
2,5,-2.00000000000000,0
2,5,0,0
3,1,-2.00000000000000,0
3,1,0,0
3,1,-0.228155493653962,1.11514250803994
3,1,-0.228155493653962,-1.11514250803994
3,1,-1.54368901269208,0
3,2,-2.00000000000000,0
3,2,-1.00000000000000,0
3,2,0,0
3,2,0,-1.00000000000000
3,2,0,1.00000000000000
3,2,-0.228155493653962,1.11514250803994
3,2,-0.228155493653962,-1.11514250803994
3,2,0.419643377607081,0.606290729207199
3,2,0.419643377607081,-0.606290729207199
3,2,-1.54368901269208,0
3,2,-1.83928675521416,0
3,3,-2.00000000000000,0
3,3,0,0
3,3,-0.228155493653962,1.11514250803994
3,3,-0.122561166876654,0.744861766619744
3,3,-0.228155493653962,-1.11514250803994
3,3,-0.122561166876654,-0.744861766619744
3,3,-1.54368901269208,0
3,3,-1.75487766624669,0
3,4,-2.00000000000000,0
3,4,-1.00000000000000,0
3,4,0,0
3,4,0,-1.00000000000000
3,4,0,1.00000000000000
3,4,-0.228155493653962,1.11514250803994
3,4,-0.228155493653962,-1.11514250803994
3,4,0.419643377607081,0.606290729207199
3,4,0.419643377607081,-0.606290729207199
3,4,-1.54368901269208,0
3,4,-1.83928675521416,0
4,1,-2.00000000000000,0
4,1,0,0
4,1,-0.228155493653962,1.11514250803994
4,1,-0.228155493653962,-1.11514250803994
4,1,-1.54368901269208,0
4,2,-2.00000000000000,0
4,2,-1.00000000000000,0
4,2,0,0
4,2,0,-1.00000000000000
4,2,0,1.00000000000000
4,2,-0.228155493653962,1.11514250803994
4,2,-0.228155493653962,-1.11514250803994
4,2,0.419643377607081,0.606290729207199
4,2,0.419643377607081,-0.606290729207199
4,2,-1.54368901269208,0
4,2,-1.83928675521416,0
4,3,-2.00000000000000,0
4,3,0,0
4,3,-0.228155493653962,1.11514250803994
4,3,-0.122561166876654,0.744861766619744
4,3,-0.228155493653962,-1.11514250803994
4,3,-0.122561166876654,-0.744861766619744
4,3,-1.54368901269208,0
4,3,-1.75487766624669,0
5,1,-2.00000000000000,0
5,1,0,0
5,1,-0.228155493653962,1.11514250803994
5,1,-0.228155493653962,-1.11514250803994
5,1,-1.54368901269208,0
5,2,-2.00000000000000,0
5,2,-1.00000000000000,0
5,2,0,0
5,2,0,-1.00000000000000
5,2,0,1.00000000000000
5,2,-0.228155493653962,1.11514250803994
5,2,-0.228155493653962,-1.11514250803994
5,2,0.419643377607081,0.606290729207199
5,2,0.419643377607081,-0.606290729207199
5,2,-1.54368901269208,0
5,2,-1.83928675521416,0
6,1,-2.00000000000000,0
6,1,0,0
6,1,-0.228155493653962,1.11514250803994
6,1,-0.228155493653962,-1.11514250803994
6,1,-1.54368901269208,0
